tedlist,Staid,ted_type,lat,long,Citation
nwis_03298300,3298300,sitelist,38.087566,-85.642458,Wieczorek 2012
nwis_03301900,3301900,sitelist,38.175624,-85.615237,Wieczorek 2012
nwis_03301940,3301940,sitelist,38.150347,-85.693571,Wieczorek 2012
nwis_03302000,3302000,sitelist,38.119792,-85.795796,Wieczorek 2012
nwis_03302030,3302030,sitelist,38.054237,-85.87163,Wieczorek 2012
nwis_03302050,3302050,sitelist,38.047848,-85.857185,Wieczorek 2012
nwis_03339000,3339000,sitelist,40.10087,-87.597242,Wieczorek 2012
nwis_03346500,3346500,sitelist,38.723611,-87.664444,Wieczorek 2012
nwis_03353200,3353200,sitelist,39.946429,-86.26027,Wieczorek 2012
nwis_03408500,3408500,sitelist,36.385517,-84.554717,Wieczorek 2012
nwis_03409500,3409500,sitelist,36.388288,-84.630188,Wieczorek 2012
nwis_03460795,3460795,sitelist,35.783611,-83.111944,Wieczorek 2012
nwis_03512000,3512000,sitelist,35.461389,-83.353611,Wieczorek 2012
nwis_03539600,3539600,sitelist,35.997665,-84.822495,Wieczorek 2012
nwis_03539778,3539778,sitelist,36.103129,-84.718277,Wieczorek 2012
nwis_03597860,3597860,sitelist,35.4829,-86.462597,Wieczorek 2012
nwis_04024000,4024000,sitelist,46.703277,-92.418802,Wieczorek 2012
nwis_04027000,4027000,sitelist,46.486614,-90.696297,Wieczorek 2012
nwis_04059500,4059500,sitelist,45.754967,-87.202079,Wieczorek 2012
nwis_04067500,4067500,sitelist,45.325833,-87.663333,Wieczorek 2012
nwis_04085108,4085108,sitelist,44.371944,-88.092222,Wieczorek 2012
nwis_040851385,40851385,sitelist,44.528611,-88.01,Wieczorek 2012
nwis_04085427,4085427,bonussites,44.106167,-87.716028,Wieczorek 2012
nwis_04087050,4087050,sitelist,43.206674,-88.038423,Wieczorek 2012
nwis_04087119,4087119,sitelist,43.043833,-88.005111,Wieczorek 2012
nwis_04087170,4087170,bonussites,43.024444,-87.898333,Wieczorek 2012
nwis_04101500,4101500,sitelist,41.829214,-86.259733,Wieczorek 2012
nwis_04108660,4108660,sitelist,42.65086,-86.106703,Wieczorek 2012
nwis_04124000,4124000,sitelist,44.436392,-85.698679,Wieczorek 2012
nwis_04124200,4124200,sitelist,44.36306,-85.820905,Wieczorek 2012
nwis_04125460,4125460,sitelist,44.19334,-85.769786,Wieczorek 2012
nwis_04125550,4125550,sitelist,44.25945,-85.941742,Wieczorek 2012
nwis_04136000,4136000,sitelist,44.676959,-84.292515,Wieczorek 2012
nwis_04136500,4136500,sitelist,44.660014,-84.131117,Wieczorek 2012
nwis_04136900,4136900,sitelist,44.612791,-83.837766,Wieczorek 2012
nwis_04137005,4137005,sitelist,44.560847,-83.802764,Wieczorek 2012
nwis_04137500,4137500,sitelist,44.436404,-83.433861,Wieczorek 2012
nwis_04142000,4142000,sitelist,44.07252,-84.019994,Wieczorek 2012
nwis_04165500,4165500,sitelist,42.595867,-82.90881,Wieczorek 2012
nwis_04166500,4166500,sitelist,42.373092,-83.254651,Wieczorek 2012
nwis_04167150,4167150,sitelist,42.330593,-83.247984,Wieczorek 2012
nwis_04168400,4168400,sitelist,42.308371,-83.252706,Wieczorek 2012
nwis_04174500,4174500,sitelist,42.286982,-83.73383,Wieczorek 2012
nwis_04176500,4176500,sitelist,41.960601,-83.531046,Wieczorek 2012
nwis_04188496,4188496,sitelist,40.97922,-83.653265,Wieczorek 2012
nwis_04195500,4195500,sitelist,41.449496,-83.361316,Wieczorek 2012
nwis_04199500,4199500,sitelist,41.38199,-82.316827,Wieczorek 2012
nwis_04200500,4200500,sitelist,41.380324,-82.104593,Wieczorek 2012
nwis_04208000,4208000,sitelist,41.395331,-81.629848,Wieczorek 2012
nwis_04213500,4213500,sitelist,42.463333,-78.934167,Wieczorek 2012
nwis_04249000,4249000,sitelist,43.451667,-76.505278,Wieczorek 2012
nwis_05054000,5054000,sitelist,46.861075,-96.783692,Wieczorek 2012
nwis_05057200,5057200,sitelist,47.229156,-98.124819,Wieczorek 2012
nwis_05082500,5082500,sitelist,47.926923,-97.029244,Wieczorek 2012
nwis_05406500,5406500,sitelist,43.134167,-89.732222,Wieczorek 2012
nwis_05418400,5418400,sitelist,42.164333,-90.729333,Wieczorek 2012
nwis_05435950,5435950,sitelist,42.949167,-89.544167,Wieczorek 2012
nwis_05446500,5446500,sitelist,41.556111,-90.185278,Wieczorek 2012
nwis_05447500,5447500,sitelist,41.488923,-90.157619,Wieczorek 2012
nwis_05451210,5451210,sitelist,42.315083,-93.152056,Wieczorek 2012
nwis_05515500,5515500,sitelist,41.389639,-86.706167,Wieczorek 2012
nwis_05518000,5518000,sitelist,41.182813,-87.34031,Wieczorek 2012
nwis_05524500,5524500,sitelist,40.870593,-87.306691,Wieczorek 2012
nwis_05595000,5595000,sitelist,38.319722,-89.888611,Wieczorek 2012
nwis_05599490,5599490,sitelist,37.758333,-89.327778,Wieczorek 2012
nwis_06336000,6336000,sitelist,46.919458,-103.528243,Wieczorek 2012
nwis_06436760,6436760,sitelist,44.652653,-103.366697,Wieczorek 2012
nwis_06465500,6465500,sitelist,42.739722,-98.222778,Wieczorek 2012
nwis_06670500,6670500,sitelist,42.200523,-104.538291,Wieczorek 2012
nwis_06711565,6711565,sitelist,39.664987,-105.004149,Wieczorek 2012
nwis_06795500,6795500,sitelist,41.526111,-97.281667,Wieczorek 2012
nwis_06800500,6800500,sitelist,41.293333,-96.283889,Wieczorek 2012
nwis_06892513,6892513,sitelist,39.029167,-94.817222,Wieczorek 2012
