"filepath"	"local"	"remote"	"no.data"	"time.st"	"time.en"
".temp_ts/nwis_01567000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01570500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01608500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01611500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01632900-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01645704-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01645762-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646305-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01648010-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01649190-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01649500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01650800-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0165389205-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01654000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01654500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01656903-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01658000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0166818623-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0166818985-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01673000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02035000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02042222-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02079500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208062765-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02081022-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02081094-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208114150-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208458892-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208458893-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0209303205-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02101726-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110400-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110550-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110701-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110704-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110777-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110802-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02110815-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0212378405-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0212880025-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02135000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02148315-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02156500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02160105-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02160700-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02160991-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02162035-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02167600-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02167716-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02168500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02168504-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02169000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02171637-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02171645-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02172050-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021720677-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021720698-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021720709-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021720869-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02198840-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02198920-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02198950-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02198955-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021989715-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021989773-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021989792-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_021989793-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0219897945-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0219897993-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_022035975-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203603-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203655-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203700-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203831-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203863-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203873-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203900-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203950-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02203960-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
