site_name	tsteps_min	K600_med	Qnodemin	Qnodemax
nwis_04121970	15,60	   9.4059	 2.9	 6.1
nwis_04124000	15,60	   1.7639	 2.9	 4.7
nwis_04124200	15,60	   4.0019	 2.9	 4.9
nwis_04125460	15,60	   6.5687	 1.7	 3.9
nwis_04125550	15,60	   7.9158	 3.3	 5.3
nwis_04136000	60	   1.8607	 2.5	 4.5
nwis_04136500	60	   3.7748	 2.7	 4.7
nwis_04136900	15,60	   5.6291	 2.9	 4.9
nwis_04137005	15,60	   3.3270	 2.7	 4.9
nwis_01540500	15	   2.2195	 3.5	 9.1
nwis_04137500	15,60	   9.9061	 2.9	 5.1
nwis_04142000	15	   3.2758	 1.3	 4.7
nwis_041482663	5,15	   4.3121	-6.1	 2.5
nwis_04157005	12,15	   2.7223	 3.1	 7.3
nwis_04165500	15	   1.0265	 1.9	 4.3
nwis_04166500	15	   1.7229	-0.7	 4.9
nwis_04167150	15	   3.1977	-0.7	 4.5
nwis_04168400	15	   5.3475	-0.3	 3.3
nwis_04176500	15	  10.3317	 0.3	 6.1
nwis_04188496	15	   0.8599	-7.5	 3.5
nwis_01201487	15	   3.1822	-0.9	 3.5
nwis_01544500	15	  23.4772	-2.1	 4.7
nwis_04195500	30,60	   2.8210	-1.9	 5.7
nwis_04199500	30	  10.0559	-2.9	 5.7
nwis_04200500	30	   9.1702	-2.1	 5.9
nwis_04208000	30	   2.9265	 1.5	 5.7
nwis_04213152	15	  28.3789	-2.3	 3.9
nwis_04213500	15	  22.0793	 0.7	 6.1
nwis_04231600	15	   2.3068	 1.9	 6.1
nwis_04249000	15	  21.3237	 2.5	 6.7
nwis_05054000	15,30,60	   1.7917	 0.9	 6.9
nwis_05057000	15	   1.9576	 0.1	 4.9
nwis_05057200	15	   0.8403	-3.3	 4.3
nwis_05082500	15	   0.8941	 2.9	 7.9
nwis_05406457	5	   9.2972	-2.1	 1.3
nwis_05406469	5	   9.8916	-3.9	 0.5
nwis_05406479	5	  13.6828	-1.1	 1.9
nwis_05406500	5	   8.1056	-0.5	 2.7
nwis_05435943	15	   9.2311	-2.1	 2.3
nwis_05435950	15	   6.1255	-0.7	 2.9
nwis_01567000	30	   4.5947	 2.7	 7.3
nwis_05446500	15	   1.5353	 4.5	 6.3
nwis_05447500	15	   3.4375	 1.5	 5.3
nwis_05451080	30	   7.7942	-5.9	 2.7
nwis_05451210	15,30	   5.9112	-2.5	 5.1
nwis_05515500	15	   1.9969	 1.7	 4.1
nwis_05524500	15	   1.2744	 0.3	 5.1
nwis_05579630	5,15	   4.6086	-8.3	 3.3
nwis_05595000	15	   1.3114	 2.3	 7.5
nwis_05599490	15	   0.9591	 1.5	 6.5
nwis_06336000	15	   5.7583	-2.1	 5.3
nwis_01608500	30	   3.9966	 0.3	 6.7
nwis_06461500	15	  16.0996	 2.3	 3.9
nwis_06465500	15	   9.8540	 3.3	 5.5
nwis_06670500	15	   7.7199	 0.1	 4.9
nwis_06711565	15,30	   9.6297	-0.9	 4.9
nwis_06795500	15	   4.4713	-2.9	 5.7
nwis_06800500	15	   3.1058	 1.3	 7.5
nwis_06805500	15	   4.8524	 2.5	 8.3
nwis_06818000	15	   1.0955	 6.3	 8.9
nwis_06892513	15	   1.0999	-2.7	 4.1
nwis_06893300	15	   8.8633	-1.5	 3.9
nwis_01611500	30,60	   4.5503	 0.3	 5.9
nwis_06893350	15	   2.3825	-4.3	 4.1
nwis_06893620	15	   6.0715	-5.7	 1.3
nwis_06893820	15	   2.7074	-3.5	 4.9
nwis_06893890	15	  12.0561	-8.3	 2.7
nwis_06893970	15	   5.8362	-8.3	 1.5
nwis_06894000	15	   1.5480	-1.9	 5.3
nwis_06934500	15	   0.5126	 6.7	 9.5
nwis_07048600	15	   7.8437	-3.3	 7.1
nwis_07061270	15	  13.1712	-4.5	 5.1
nwis_07061290	15	   4.1765	-4.3	 5.5
nwis_01632900	15	   5.3478	-1.5	 3.7
nwis_07075250	15	   5.2889	-7.3	 4.7
nwis_07075270	15	   5.3355	-6.1	 5.5
nwis_07106000	15,30	  24.9228	-0.1	 4.5
nwis_07143672	60	   1.2304	-7.1	 5.5
nwis_07144100	30,60	   1.5356	-4.3	 6.1
nwis_07164500	30	   2.9871	 0.1	 7.7
nwis_07178200	60	   1.3124	 0.7	 6.5
nwis_071912213	30	   6.2975	-1.1	 6.3
nwis_01645704	15	   7.7037	-5.3	 3.1
nwis_07198000	30,60	   4.9970	-1.9	 7.1
nwis_07239450	30	   7.3183	-5.5	 3.7
nwis_07241000	30	   7.8945	-3.9	 5.3
nwis_07241520	30	   3.8979	-2.3	 5.5
nwis_072632966	15	   2.8004	 1.3	 5.7
nwis_07332620	15	   3.3597	-8.3	 6.5
nwis_07332622	15	   2.3024	-8.3	 6.3
nwis_07374000	60	   3.1040	 8.1	10.7
nwis_07381600	60	  -2.9547	 6.5	 9.5
nwis_01645762	15	   8.4511	-5.9	 1.9
nwis_08048000	15	   2.9906	-1.3	 6.1
nwis_08049500	15	   1.9024	 0.9	 6.5
nwis_08052700	15	   3.1903	-8.3	 4.5
nwis_08052745	15	   7.0397	-6.5	 4.3
nwis_08057410	15	   1.0114	 2.5	 7.3
nwis_08062500	15	   1.9385	 2.5	 7.5
nwis_08065350	15	   2.3134	 2.5	 7.3
nwis_08068000	15	   2.4473	-0.7	 7.5
nwis_08068500	15	   3.5711	-1.9	 7.5
nwis_08070200	15	   2.5121	-2.7	 6.3
nwis_01646000	15	   6.4470	-2.1	 4.1
nwis_08155500	15	  -0.0784	-1.1	 1.5
nwis_08171290	15	   7.5079	-2.9	 4.1
nwis_08180700	15	   5.7773	-3.1	 4.7
nwis_08181500	15	   2.6730	-0.5	 5.9
nwis_08181800	15	   1.5378	 0.1	 6.3
nwis_08188060	15	   2.0300	 0.3	 6.5
nwis_08211200	15	   0.8042	-0.9	 5.5
nwis_08317400	30,60	  22.7873	 1.7	 5.1
nwis_08374550	15	   3.0384	-2.1	 2.9
nwis_08375300	15	   2.8971	-0.9	 5.5
nwis_01646305	15	   9.7142	-5.9	 1.3
nwis_08437710	15	   6.4696	-4.9	 1.7
nwis_08446500	15	   4.1890	-3.3	 2.1
nwis_08447000	15	   2.7972	-2.7	 1.9
nwis_08447300	15	   5.8131	-0.1	 2.1
nwis_09041400	15,30	  30.0792	-1.1	 3.7
nwis_09327000	15	  58.1968	-3.7	 2.3
nwis_09406000	15	  28.5188	 0.3	 5.3
nwis_10129900	15,60	  20.2548	-3.7	 1.1
nwis_10133650	15	  22.8614	-3.1	 2.1
nwis_10133800	15,60	  22.6292	-2.3	 2.5
nwis_01208990	15	  13.3979	-4.9	 0.3
nwis_01646500	15	   1.0390	 3.5	 8.5
nwis_10133980	15,60	  43.0865	-2.3	 3.1
nwis_11044000	15,60	  18.1432	-3.9	 4.9
nwis_11126000	15	   3.7950	-2.1	-0.5
nwis_11128500	15	   8.7670	-4.7	 6.1
nwis_11273400	15	   2.0523	-2.3	 4.3
nwis_11285500	15	  16.1946	 0.7	 6.5
nwis_11447890	15	   2.8730	 4.9	 7.3
nwis_01648010	5,15	   3.8749	-2.1	 4.3
nwis_11462500	15	   5.0364	-0.3	 5.7
nwis_11463000	15	   5.8276	 0.5	 4.1
nwis_11463682	15	   5.5006	 0.3	 3.7
nwis_11463980	15	   2.1668	-0.5	 2.5
nwis_11465240	15	   9.8136	 0.7	 1.7
nwis_11467000	15	   1.6322	 0.3	 7.1
nwis_12101100	15	  16.8928	-5.9	 3.5
nwis_12102075	15	   2.3287	 0.1	 1.9
